iter	Accuracy	MultiClass
0	0.8892857143	0.9761675236
1	0.9357142857	0.8603573579
2	0.9535714286	0.7648260854
3	0.9535714286	0.6833913631
4	0.9535714286	0.6140864011
5	0.9535714286	0.5563898633
6	0.9535714286	0.5082471923
7	0.9535714286	0.4682814956
8	0.9535714286	0.4287143399
9	0.9535714286	0.3920981528
10	0.9535714286	0.3608325802
11	0.9964285714	0.3329119843
12	0.9964285714	0.3079422598
13	0.9964285714	0.2855424053
14	0.9964285714	0.2647664484
15	0.9964285714	0.2471609874
16	0.9964285714	0.2316168197
17	0.9964285714	0.2152793398
18	0.9964285714	0.201729499
19	0.9964285714	0.1877896823
20	0.9964285714	0.1777957456
21	0.9964285714	0.1660573415
22	0.9964285714	0.1566390176
23	0.9964285714	0.1516609214
24	0.9964285714	0.1428662295
25	0.9964285714	0.1353007402
26	0.9964285714	0.1287959739
27	0.9964285714	0.1220869632
28	0.9964285714	0.1151716616
29	0.9964285714	0.1117740918
30	0.9964285714	0.1065922852
31	0.9964285714	0.1012436247
32	0.9964285714	0.09658462785
33	0.9964285714	0.09247021997
34	0.9964285714	0.08787119179
35	0.9964285714	0.08469164547
36	0.9964285714	0.08130622908
37	0.9964285714	0.07840989127
38	0.9964285714	0.07547893395
39	0.9964285714	0.07328389695
40	0.9964285714	0.07155264154
41	0.9964285714	0.06930097741
42	0.9964285714	0.06723487605
43	0.9964285714	0.0646388987
44	0.9964285714	0.06196676793
45	0.9964285714	0.0595486736
46	0.9964285714	0.05720200656
47	0.9964285714	0.05522569617
48	0.9964285714	0.05315310012
49	0.9964285714	0.05153955125
50	0.9964285714	0.04968294193
51	0.9964285714	0.04813348546
52	0.9964285714	0.04672842181
53	0.9964285714	0.045513904
54	0.9964285714	0.04400520994
55	0.9964285714	0.0427610538
56	0.9964285714	0.04218313732
57	0.9964285714	0.04102727234
58	0.9964285714	0.0397512549
59	0.9964285714	0.03911676735
60	0.9964285714	0.03793390691
61	0.9964285714	0.03716460296
62	0.9964285714	0.03607888724
63	0.9964285714	0.03504696051
64	0.9964285714	0.03429029153
65	0.9964285714	0.03334335444
66	0.9964285714	0.03298066021
67	0.9964285714	0.03208985682
68	0.9964285714	0.03124046012
69	0.9964285714	0.03054336825
70	0.9964285714	0.02976506821
71	0.9964285714	0.0290210954
72	0.9964285714	0.02830937734
73	0.9964285714	0.02762799663
74	0.9964285714	0.02714495794
75	0.9964285714	0.02651221084
76	0.9964285714	0.02590522425
77	0.9964285714	0.02532255255
78	1	0.02500037041
79	1	0.02445022951
80	1	0.02392143202
81	1	0.02341282978
82	1	0.02313891007
83	1	0.02265638148
84	1	0.02219176781
85	1	0.02174414106
86	1	0.02131263391
87	1	0.02108045274
88	1	0.02066965744
89	1	0.02027326597
90	1	0.01989056892
91	1	0.01952090123
92	1	0.01916363889
93	1	0.0188181959
94	1	0.01848402149
95	1	0.01829402005
96	1	0.01797460378
97	1	0.01766535358
98	1	0.01749708741
99	1	0.01734373441
100	1	0.01705031493
101	1	0.01691186199
102	1	0.01662996848
103	1	0.01635679638
104	1	0.01609195888
105	1	0.0158350913
106	1	0.01558584953
107	1	0.01546531936
108	1	0.0153548232
109	1	0.01525339567
110	1	0.01501637177
111	1	0.01492373276
112	1	0.01469482607
113	1	0.01460999071
114	1	0.01453176489
115	1	0.01431130276
116	1	0.0140972587
117	1	0.0140254856
118	1	0.01381826597
119	1	0.01361695052
120	1	0.01355091689
121	1	0.0133558351
122	1	0.01329478296
123	1	0.01310562244
124	1	0.01292170026
125	1	0.01274280188
126	1	0.0125687243
127	1	0.01251246115
128	1	0.01234343913
129	1	0.01229123549
130	1	0.01215881244
131	1	0.01210992084
132	1	0.01194954875
133	1	0.01179335993
134	1	0.01164119169
135	1	0.01159569288
136	1	0.01155324245
137	1	0.01151358295
138	1	0.01136591242
139	1	0.01122201544
140	1	0.01108174723
141	1	0.01094497037
142	1	0.01090767099
143	1	0.01077440615
144	1	0.01064439424
145	1	0.01060938409
146	1	0.01057656632
147	1	0.01047372599
148	1	0.01034959385
149	1	0.01031843875
150	1	0.01028916469
151	1	0.01016812435
152	1	0.01004996471
153	1	0.009934581769
154	1	0.009821876555
155	1	0.009794022274
156	1	0.009767802527
157	1	0.009657770925
158	1	0.009550259856
159	1	0.009525379541
160	1	0.009420326986
161	1	0.009317636065
162	1	0.009217225807
163	1	0.009193521417
164	1	0.009095339245
165	1	0.009072889441
166	1	0.008976861527
167	1	0.008955570529
168	1	0.008861626819
169	1	0.008841407899
170	1	0.008749481802
171	1	0.008730256296
172	1	0.008712043041
173	1	0.008694769165
174	1	0.008604740546
175	1	0.008516646279
176	1	0.008430422292
177	1	0.008346007373
178	1	0.008329225548
179	1	0.008246536109
180	1	0.00816555061
181	1	0.008086214859
182	1	0.008008476992
183	1	0.007932287348
184	1	0.007915957385
185	1	0.007841253548
186	1	0.007768012616
187	1	0.007696190334
188	1	0.007680484459
189	1	0.007610025382
190	1	0.00755743637
191	1	0.007542329729
192	1	0.007474212941
193	1	0.007459793358
194	1	0.007392938161
195	1	0.007379159419
196	1	0.007313531554
197	1	0.007300351335
198	1	0.007287796539
199	1	0.007275825994
