iter	Passed	Remaining
0	148	29565
1	149	14761
2	149	9823
3	150	7372
4	150	5882
5	151	4891
6	151	4180
7	152	3648
8	152	3233
9	152	2904
10	153	2634
11	153	2410
12	154	2218
13	154	2054
14	155	1912
15	155	1787
16	155	1678
17	156	1580
18	157	1498
19	157	1419
20	158	1346
21	158	1282
22	158	1222
23	159	1166
24	159	1116
25	159	1068
26	160	1025
27	160	985
28	160	948
29	161	913
30	161	880
31	161	849
32	162	820
33	162	794
34	163	768
35	163	743
36	163	720
37	163	699
38	164	678
39	164	658
40	165	640
41	165	622
42	165	605
43	166	589
44	166	574
45	167	559
46	167	545
47	167	531
48	168	518
49	168	505
50	168	493
51	169	483
52	170	472
53	170	461
54	171	451
55	171	441
56	171	431
57	172	421
58	172	412
59	172	403
60	173	394
61	173	386
62	174	378
63	174	370
64	174	362
65	175	355
66	175	348
67	175	341
68	176	334
69	176	327
70	176	321
71	177	315
72	177	309
73	178	303
74	178	297
75	178	291
76	179	286
77	179	281
78	179	275
79	180	270
80	180	265
81	181	260
82	181	255
83	181	250
84	181	246
85	182	241
86	182	237
87	182	232
88	183	228
89	183	224
90	184	220
91	184	216
92	184	212
93	185	208
94	185	205
95	185	201
96	186	197
97	186	194
98	186	190
99	187	187
100	187	183
101	187	180
102	187	177
103	188	173
104	188	170
105	189	167
106	189	164
107	189	161
108	189	158
109	190	155
110	190	152
111	190	149
112	191	147
113	191	144
114	191	141
115	191	139
116	192	136
117	192	133
118	192	131
119	193	128
120	193	126
121	194	124
122	194	121
123	194	119
124	195	117
125	195	114
126	196	112
127	196	110
128	196	108
129	196	106
130	197	103
131	197	101
132	197	99
133	198	97
134	198	95
135	198	93
136	199	91
137	199	89
138	199	87
139	200	85
140	200	83
141	201	82
142	201	80
143	201	78
144	202	76
145	202	74
146	202	73
147	202	71
148	203	69
149	203	67
150	203	66
151	204	64
152	204	62
153	204	61
154	205	59
155	205	57
156	205	56
157	206	54
158	206	53
159	206	51
160	207	50
161	207	48
162	207	47
163	208	45
164	208	44
165	208	42
166	209	41
167	209	39
168	209	38
169	210	37
170	210	35
171	210	34
172	210	32
173	211	31
174	211	30
175	211	28
176	212	27
177	212	26
178	212	24
179	213	23
180	213	22
181	213	21
182	214	19
183	214	18
184	214	17
185	215	16
186	215	14
187	215	13
188	216	12
189	216	11
190	216	10
191	217	9
192	217	7
193	217	6
194	218	5
195	218	4
196	218	3
197	218	2
198	218	1
199	219	0
